approach,mean_f1,mean_mcc,mean_pr_auc,mean_precision,mean_recall,mean_roc_auc,metrics,name,std_f1,std_mcc,std_pr_auc,std_precision,std_recall,std_roc_auc
RF,0.896998557,0.88786708939,0.93257042062,0.899166666665,0.924166666665,0.9912885343075,ico-process,ansistrano/deploy,0.189490017371743,0.186222711660099,0.091799614733739,0.190588756420019,0.206963875070883,0.023466926752616
RF,0.1323778998725,0.0362814463825,0.54048654004,0.20679062853,0.1987500000025,0.49719714332,delta-process,ansistrano/deploy,0.173646569842238,0.214731163978633,0.167227602698171,0.338798395123827,0.32865060162642,0.126508579503839
RF,0.947368421052632,0.939849624057895,0.950657894736842,0.947368421052632,0.947368421052632,0.962406015036842,ico-delta,dockpack/ansible-vault,0.229415733870562,0.262189410147617,0.215077250503652,0.229415733870562,0.229415733870562,0.163868381339393
RF,0.947368421052632,0.939849624057895,0.950657894736842,0.947368421052632,0.947368421052632,0.966165413531579,ico,dockpack/ansible-vault,0.229415733870562,0.262189410147617,0.215077250503652,0.229415733870562,0.229415733870562,0.147481543212336
RF,0.0350877193,0.034812517252632,0.571637426905263,0.026315789473684,0.052631578947369,0.500939849621053,process,dockpack/ansible-vault,0.152943822588022,0.151744244674487,0.043247570116403,0.114707866935281,0.229415733870562,0.198177073959004
RF,0,0,0.502192982463158,0,0,0.4962406015,delta,dockpack/ansible-vault,0,0,0.176989545360498,0,0,0.297832004007169
RF,0.929824561405263,0.922030562363158,0.9375,0.921052631578947,0.947368421052632,0.962406015036842,ico-process,dockpack/ansible-vault,0.23776083450387,0.269283139157326,0.219492786517765,0.250729928560639,0.229415733870562,0.163868381339393
RF,0,-0.006578947368421,0.535087719305263,0,0,0.527255639094737,delta-process,dockpack/ansible-vault,0,0.02867696673382,0.11614451983992,0,0,0.195467383241497
RF,0.890000000005,0.88365528925,0.925833333335,0.891666666665,0.95,0.981875,ico-delta,DavidWittman/ansible-redis,0.182285682852735,0.191143058413351,0.121933137649227,0.231161572320636,0.153896752812773,0.070182445510931
RF,0.93166666667,0.926751729875,0.9525,0.925,0.975,0.988125,ico,DavidWittman/ansible-redis,0.148471746966428,0.156788336696483,0.101635025271745,0.190988502764706,0.111803398874989,0.042819042431339
RF,0.25170995671,0.18417835521,0.615654761895,0.220952380955,0.475,0.59075892858,process,DavidWittman/ansible-redis,0.293125844917537,0.289439277957893,0.117575500167886,0.313252650136066,0.472256620694166,0.289637258987771
RF,0.133333333335,0.037165103685,0.46083333333,0.141666666665,0.15,0.45821428571,delta,DavidWittman/ansible-redis,0.289181138728001,0.392727334021542,0.285363297364023,0.321159267113886,0.328473342665893,0.309866204372837
RF,0.890000000005,0.885456365055,0.936666666665,0.883333333335,0.925,0.990625,ico-process,DavidWittman/ansible-redis,0.244016105302031,0.246899660061606,0.11977073615925,0.265457786204417,0.244680242464796,0.041926274578121
