id,full_name,comments_ratio,commit_frequency,core_contributors,has_ci,has_license,iac_ratio,issue_frequency,repository_size,fixing_commit_count,fixed_file_count,clean_count,defective_count
114266564,oVirt/ovirt-ansible-disaster-recovery,0.0611,7.74,4,True,True,0.5902,0.03,2798,4,5,249,20
26370170,AlbanAndrieu/ansible-nabla,0.2434,4.89,3,True,True,0.5946,0.14,9108,6,16,203,19
67760353,aalaesar/install_nextcloud,0.0849,6.37,4,True,True,0.8448,0.54,1919,25,26,105,18
190206784,vitabaks/postgresql_cluster,0.0833,20.41,2,True,True,0.8532,1.11,5427,16,15,180,18
115824369,florianutz/Ubuntu1604-CIS,0.0119,2.38,2,True,True,0.7885,0.06,4820,14,9,15,18
17664561,AtlasOfLivingAustralia/ala-install,0.1113,32.07,13,False,True,0.5084,2.19,109565,124,122,273,17
23397594,Graylog2/graylog-ansible-role,0.0356,4.35,4,True,True,0.7059,0.25,1111,13,11,56,15
105946365,arillso/ansible.logrotate,0.0707,2.42,2,True,True,0.8,0.39,289,8,4,23,15
159518616,goodrain/rainbond-ansible,0.0911,34.71,5,True,True,0.7494,0.39,12944,9,9,619,13
18198998,jcalazan/ansible-django-stack,0.0647,2.71,6,True,True,0.8077,0.91,1244,3,9,44,12
45436148,mrlesmithjr/ansible-manage-lvm,0.0751,2,3,True,False,0.5476,0.66,924,6,3,45,12
91701346,stackhpc/ansible-role-os-images,0.1393,2.58,4,True,True,0.5556,0.1,383,3,1,12,12
88057051,ReSearchITEng/kubeadm-playbook,0.2606,9.83,2,True,True,0.8061,0.77,3567,9,6,354,11
32947512,Oefenweb/ansible-supervisor,0.0434,2.31,3,True,True,0.75,0.07,485,2,2,36,11
19954737,openfoodfoundation/ofn-install,0.0937,15.67,5,True,False,0.8042,1.84,3038,47,36,8,10
70871612,ansible-community/ansible-vault,0.0417,9.2,6,True,True,0.7547,0.36,2139,17,16,79,10
48370306,elastic/ansible-beats,0.0152,2.53,4,True,True,0.6098,0.93,1099,4,6,14,10
