comments_ratio,commit_frequency,core_contributors,fixed_file_count,fixing_commit_count,full_name,has_ci,has_license,iac_ratio,id,issue_frequency,release_count,repository_size
0.1476,23.86,5,2,6,fgci-org/fgci-ansible,True,True,0.6354,42441531,1.29,0,1918
0.0748,7,3,2,2,hadret/ansible-role-containers,True,True,0.8571,200037974,0.29,0,334
0.0532,7.82,5,2,5,idealista/java_role,True,True,0.7333,76857031,0.04,0,1032
0.1272,2.78,2,2,4,m4rcu5nl/ansible-role-zerotier,True,True,0.7647,98467807,0.05,0,302
0.0989,3.57,3,2,6,oVirt/ovirt-ansible-engine-setup,True,True,0.6122,112223620,0.26,0,592
0.049,2.81,3,2,3,oVirt/ovirt-ansible-infra,True,True,0.5667,110126654,0.14,0,1901
0.0835,3.41,2,2,3,oVirt/ovirt-ansible-manageiq,True,True,0.5333,110140135,0.12,0,900
0.07,2.58,2,2,5,reallyenglish/ansible-role-postfix,True,True,0.3913,77808569,0.21,0,1767
0.0407,5.3,3,2,5,stackhpc/ansible-role-openhpc,True,True,0.6136,162147868,1.48,0,919
0.0479,4.35,6,2,5,willshersystems/ansible-sshd,True,True,0.8095,28204193,0.1,0,1351
0.2069,7.45,3,1,1,alibaba/ansible-provider,True,True,0.462,75266817,0.28,2,17351
0.0933,3.05,3,1,1,radsec/CentOS7-CIS,True,True,0.377,145933711,0.3,0,5229
0.0221,3.76,2,1,3,onaio/ansible-react,True,True,0.6111,151249319,0.2,0,399
0.0142,3.23,4,1,1,avinetworks/ansible-role-aviconfig,True,True,0.971,97092571,0.05,0,278
0.0396,3.92,2,1,1,cloudalchemy/ansible-pushgateway,True,True,0.6111,144489384,0.04,0,776
0.0403,2.18,2,1,1,cloudalchemy/ansible-smokeping_prober,True,True,0.6053,221063702,0.09,0,785
0.3042,3.6,4,1,1,CSCfi/ansible-role-pxe_config,True,True,0.4545,42982158,0.03,0,526
0.2481,2.54,6,1,10,CSCfi/ansible-role-users,True,True,0.375,42512164,0.06,0,588
0.0358,2.77,4,1,1,idealista/mysql_role,True,True,0.7347,84809912,0.19,0,1267
0.0394,3.66,4,1,1,idealista/nexus-role,True,True,0.5517,133779178,0.03,0,2363
0.1472,5.5,4,1,2,idealista/solrcloud_role,True,True,0.1912,77052305,0.13,0,7903
0.1033,2.76,3,1,3,infOpen/ansible-role-fail2ban,True,True,0.7,42964425,0.12,0,816
0.0413,3.77,2,1,1,lean-delivery/ansible-role-sonarqube,True,True,0.7059,142212182,0.22,0,1206
0.0911,2.24,3,1,3,oVirt/ovirt-ansible-repositories,True,True,0.6316,112223972,0.09,0,419
0.0841,2.84,2,1,1,oVirt/ovirt-ansible-shutdown-env,True,True,0.3043,142292400,0.52,0,414
0.1011,5.91,2,1,11,plone/ansible.plone_server,True,True,0.5625,26663627,0.12,0,1743
0.083,2,2,1,2,spottmedia/ansible-ssh-login-notifications,True,True,0.55,140813894,0.07,0,409
0.1393,2.58,4,1,6,stackhpc/ansible-role-os-images,True,True,0.5556,91701346,0.1,0,383
0.1641,2.17,2,1,1,timorunge/ansible-pmm-client,True,True,0.6,125430783,0.12,0,596
0.0477,3.2,3,1,4,trombik/qansible,True,True,0.1667,73437095,0.29,0,4073
0.0097,4.5,2,0,0,030/ansible-firefox,True,True,0.6667,115332911,0.09,28,204
0.0398,18.26,5,0,1,sensu/sensu-go-ansible,False,False,0.3828,200072543,1.47,0,13292
0.0892,6.21,2,0,0,radekg/terraform-provisioner-ansible,False,True,0.1471,119756542,0.94,0,4352
0.0544,19.93,2,0,0,Pure-Storage-Ansible/FlashArray-Collection,True,True,0.2338,203809652,0,0,7236
0.1585,34,2,0,0,PaloAltoNetworks/pan-os-ansible,True,True,0.225,238510689,5.33,0,11844
0.0353,7,2,0,0,launchdarkly-labs/ansible-launchdarkly-collection,True,True,0.1626,204366671,0.08,0,7687
0.3325,8.08,9,0,1,Juniper/ansible-junos-stdlib,False,True,0.1477,16183015,4.86,0,7444
0.1131,8.1,3,0,0,cloudify-cosmo/cloudify-ansible-plugin,False,True,0.2766,27962223,0.17,0,3546
0.0232,3.39,4,0,2,onaio/ansible-django,True,True,0.7317,150433080,0.09,0,799
0.0891,3.08,2,0,1,infOpen/ansible-role-ntp,True,True,0.5758,42817900,0.05,0,562
0.0202,11.8,2,0,0,artis3n/ansible-collection-github,True,True,0.2857,216852403,0.08,0,485
0.0207,2.21,2,0,0,amimof/kubernetes-the-right-way,True,True,0.7708,147178352,0.04,0,1280
0.0973,5.19,3,0,0,Azure-Samples/ansible-playbooks,True,True,0.8182,114970493,2.94,0,2820
0.0401,4.61,2,0,0,cloudalchemy/ansible-coredns,True,True,0.5882,162003671,0.13,0,767
0.1615,154.32,14,0,7,ComplianceAsCode/content,True,True,0.3085,19279458,50.34,0,572614
0.1187,4.58,3,0,0,evandam/evandam.conda,True,True,0.3333,167637903,0.1,0,438
0.0211,5.42,2,0,0,fcsonline/drill,True,True,0.1961,91699290,0.93,0,1766
0.0474,4.67,3,0,0,idealista/elasticsearch_role,True,True,0.6667,178378390,0.2,0,1086
0.0248,3.61,3,0,1,idealista/nginx_role,True,True,0.7059,78723507,0.4,0,905
0.0451,3.81,5,0,0,idealista/zookeeper_role,True,True,0.7353,77050574,0.12,0,720
0.0039,5.46,3,0,0,Jimdo/ansible-fastly,True,True,0.4848,61132741,0.23,0,16108
0.1121,9.73,3,0,0,linux-system-roles/network,True,True,0.6452,89694026,10.33,0,9062
0.2908,6.13,3,0,0,manala/manalize,True,True,0.1866,62733701,0.88,0,2844
0.0445,12.11,3,0,0,MeilleursAgents/terraform-provider-ansiblevault,True,True,0.2128,184284114,0.89,0,1031
0.1369,2.39,2,0,0,mwolff44/ansible-kamailio-mw,True,True,0.5357,87953916,0.06,0,353
0.098,4.81,4,0,0,napalm-automation/napalm-ansible,True,True,0.2526,49192168,0.05,0,1906
0.0476,11.37,4,0,0,PaloAltoNetworks/ansible-pan,True,True,0.3865,29692434,0.44,0,53433
0.0314,9,2,0,3,patrickjahns/ansible-role-promtail,True,True,0.6296,239170234,0.22,0,586
