comments_ratio,commit_frequency,core_contributors,fixed_file_count,fixing_commit_count,full_name,has_ci,has_license,iac_ratio,id,issue_frequency,release_count,repository_size
0.0434,2.31,3,2,2,Oefenweb/ansible-supervisor,True,True,0.75,32947512,0.07,0,485
0.0989,3.57,3,2,6,oVirt/ovirt-ansible-engine-setup,True,True,0.6122,112223620,0.26,0,592
0.049,2.81,3,2,3,oVirt/ovirt-ansible-infra,True,True,0.5667,110126654,0.14,0,1901
0.0835,3.41,2,2,3,oVirt/ovirt-ansible-manageiq,True,True,0.5333,110140135,0.12,0,900
0.07,2.58,2,2,5,reallyenglish/ansible-role-postfix,True,True,0.3913,77808569,0.21,0,1767
0.0479,4.35,6,2,4,willshersystems/ansible-sshd,True,True,0.8095,28204193,0.1,0,1351
0.2069,7.45,3,1,1,alibaba/ansible-provider,True,True,0.462,75266817,0.28,2,17351
0.0933,3.05,3,1,1,radsec/CentOS7-CIS,True,True,0.377,145933711,0.3,0,5229
0.0221,3.76,2,1,2,onaio/ansible-react,True,True,0.6111,151249319,0.2,0,399
0.0142,3.23,4,1,1,avinetworks/ansible-role-aviconfig,True,True,0.971,97092571,0.05,0,278
0.0396,3.92,2,1,1,cloudalchemy/ansible-pushgateway,True,True,0.6111,144489384,0.04,0,776
0.0403,2.18,2,1,1,cloudalchemy/ansible-smokeping_prober,True,True,0.6053,221063702,0.09,0,785
0.3042,3.6,4,1,1,CSCfi/ansible-role-pxe_config,True,True,0.4545,42982158,0.03,0,526
0.2481,2.54,6,1,9,CSCfi/ansible-role-users,True,True,0.375,42512164,0.06,0,588
0.0307,3,4,1,2,idealista/consul_role,True,True,0.8085,115113358,0.83,0,1263
0.0358,2.77,4,1,1,idealista/mysql_role,True,True,0.7347,84809912,0.19,0,1267
0.0394,3.66,4,1,1,idealista/nexus-role,True,True,0.5517,133779178,0.03,0,2363
0.0395,6.66,3,1,1,idealista/redis_role,True,True,0.7273,88843701,0.11,0,1167
0.1472,5.5,4,1,2,idealista/solrcloud_role,True,True,0.1912,77052305,0.13,0,7903
0.1033,2.76,3,1,3,infOpen/ansible-role-fail2ban,True,True,0.7,42964425,0.12,0,816
0.0413,3.77,2,1,1,lean-delivery/ansible-role-sonarqube,True,True,0.7059,142212182,0.22,0,1206
0.1272,2.78,2,1,2,m4rcu5nl/ansible-role-zerotier,True,True,0.7647,98467807,0.05,0,302
0.0911,2.24,3,1,3,oVirt/ovirt-ansible-repositories,True,True,0.6316,112223972,0.09,0,419
0.0841,2.84,2,1,1,oVirt/ovirt-ansible-shutdown-env,True,True,0.3043,142292400,0.52,0,414
0.1011,5.91,2,1,11,plone/ansible.plone_server,True,True,0.5625,26663627,0.12,0,1743
0.0407,5.3,3,1,3,stackhpc/ansible-role-openhpc,True,True,0.6136,162147868,1.48,0,919
0.1393,2.58,4,1,3,stackhpc/ansible-role-os-images,True,True,0.5556,91701346,0.1,0,383
0.1641,2.17,2,1,1,timorunge/ansible-pmm-client,True,True,0.6,125430783,0.12,0,596
0.0477,3.2,3,1,3,trombik/qansible,True,True,0.1667,73437095,0.29,0,4073
