id,full_name,comments_ratio,commit_frequency,core_contributors,has_ci,has_license,iac_ratio,issue_frequency,release_count,repository_size
114410657,avinetworks/ansible-role-avicontroller-csp,0.0187,1.37,3,True,True,0.6842,0,7,472
123602857,avinetworks/ansible-role-avicontroller-vmware,0.0634,1.62,5,True,True,0.5385,0.03,5,635
69491937,avinetworks/ansible-role-avisdk,0.1802,4.98,6,True,True,0.0244,0,36,7176
72055146,avinetworks/ansible-role-avise,0.027,4.24,3,True,True,0.8,0,9,1585
129978123,avinetworks/ansible-role-avise-csp,0.0158,1.46,4,False,True,0.8,0.21,4,621
137773076,avinetworks/ansible-role-avise-vmware,0.0546,0.75,3,False,True,0.625,0.39,3,1038
79982513,avinetworks/ansible-role-docker,0.0372,1.27,3,True,True,0.8491,0.17,6,931
29599762,azavea/ansible-opentripplanner,0,1.83,4,False,True,0.5833,0,24,156
114970493,Azure-Samples/ansible-playbooks,0.0973,5.19,3,True,True,0.8182,2.94,3,2820
179023139,Azure/ansible-aks,0.0878,5,4,True,True,0.8276,0,2,499
113817885,Azure/azure_preview_modules,0.0854,16.58,3,True,False,0.2784,9.89,3,50995
169030678,badpacketsllc/ansible-aws_cli,0.0039,1.79,2,True,True,0.5714,0.63,3,508
53695197,Batix/rundeck-ansible-plugin,0.0743,4.19,6,True,True,0.0769,2.68,34,3077
61400628,bdellegrazie/ansible-role-ca-certificates,0.0026,1.17,2,True,True,0.5517,0.02,8,756
197024683,berttejeda/ansible-taskrunner,0.106,32.6,2,True,True,0.2078,0,7,4235
106127645,bery/ansible-ghost,0.1313,2.75,1,False,False,0.7037,0,5,496
133828241,bird-house/ansible-wps-playbook,0.1459,6.83,2,True,True,0.6579,3.07,7,1376
52640149,blackstar257/ansible-deploy,0.1773,0.62,2,True,True,0.7273,0,2,580
193971997,bluebanquise/bluebanquise,0.0842,58.06,3,True,True,0.6003,15.59,5,13549
75483970,bmacauley/ansible-playbook-mac-dev,0.13,4.67,3,True,True,0.6818,0,5,810
167617137,bneijt/ipfs-video-gateway,0.0241,3,1,False,True,0.3333,0,2,283
105424264,bngsudheer/ansible-role-centos_base,0.0103,3.4,2,True,True,0.4815,0,29,479
220226049,caddy-ansible/caddy-ansible,0.0105,4.03,5,True,True,0.6154,0.08,9,473
55089605,caktus/tequila-common,0.0699,3.1,4,False,True,0.4,0.05,15,399
55089698,caktus/tequila-django,0.1319,4.93,5,False,True,0.5,0.08,31,882
55089758,caktus/tequila-nginx,0.0027,3.02,3,False,True,0.6364,0.02,14,369
156074529,carlba/ansible-role-dotfiles-minimal,0.0594,2.75,1,True,False,0.45,0.04,7,301
208954001,carlmontanari/nornsible,0.0608,6.5,2,False,True,0.4286,0,6,3522
60802750,CentOS-PaaS-SIG/linchpin,0.104,80.17,5,True,True,0.3756,4.58,76,41596
17373313,ceph/ceph-ansible,0.1479,67.59,7,True,True,0.445,3.65,255,24633
183172075,chaos-bodensee/role-i3wm,0.0578,1.82,2,True,True,0.4203,0,5,734
165523314,chaos-bodensee/voc-setup,0.0876,14.23,2,False,True,0.2353,0,3,844
205745610,christian-schlichtherle/kalaxy,0.0309,10.64,1,False,True,0.8571,0,8,815
158248282,christiangda/ansible-role-amazon-cloudwatch-agent,0.1167,6.47,1,True,True,0.6667,0.17,6,1188
205541807,chriswayg/ansible-initial-server,0.1556,29.75,1,True,False,0.8,0,5,1324
124455707,ChromaticHQ/ansible-deploy-drupal,0.1344,1.06,2,False,True,0.5714,0.06,10,219
95678553,chusiang/ansible.dockerfile,0.0323,0.87,2,False,True,0,0.1,5,300
61442703,chusiang/gitbook.ansible.role,0.1685,1.56,2,True,True,0.4545,0.29,21,385
71463293,chusiang/testlink.ansible.role,0.1697,2.05,2,True,True,0.5455,0,11,504
112320479,cimon-io/ansible-role-postgresql,0.2136,3.76,14,True,True,0.6667,0,4,1178
134294492,CiscoDevNet/FTDAnsible,0.1043,28.67,4,False,True,0.5072,0.07,6,7127
89618427,citrix/citrix-adc-ansible-modules,0.0177,16.98,1,False,True,0.2348,0.58,12,149679
184180576,clay584/parse_genie,0.1343,2.33,2,True,True,0.5333,0,14,464
187069414,Cloud-Temple/yaani,0.1764,4.83,2,False,True,0.1176,0,8,1826
112222674,cloudalchemy/ansible-alertmanager,0.0777,6.9,4,True,True,0.6154,0.14,61,1305
112223046,cloudalchemy/ansible-blackbox-exporter,0.0905,4.48,3,True,True,0.6111,0.11,36,804
162003671,cloudalchemy/ansible-coredns,0.0401,4.61,2,True,True,0.5882,0.13,7,767
112223013,cloudalchemy/ansible-grafana,0.1277,8.89,3,True,True,0.6818,1.69,66,1680
139183152,cloudalchemy/ansible-mysqld_exporter,0.0401,3.59,3,True,True,0.5625,0,5,743
112219931,cloudalchemy/ansible-node-exporter,0.026,7.09,3,True,True,0.6053,0.92,68,1309
203333475,cloudalchemy/ansible-process_exporter,0.0467,3.5,3,True,True,0.5938,0,3,674
112219764,cloudalchemy/ansible-prometheus,0.0361,12.61,3,True,True,0.6591,0.92,117,1791
144489384,cloudalchemy/ansible-pushgateway,0.0396,3.92,2,True,True,0.6111,0.04,9,776
221063702,cloudalchemy/ansible-smokeping_prober,0.0403,2.18,2,True,True,0.6053,0.09,1,785
113624820,cloudalchemy/ansible-snmp-exporter,0.0409,3.71,3,True,True,0.5882,0,29,750
98161271,Cloudbox/Cloudbox,0.179,89.47,1,True,True,0.8723,0.4,27,12958
177762187,clouddrove/ansible-role-common,0.0856,3.65,4,False,True,0.5263,0,2,235
182848369,clouddrove/ansible-role-docker-nginx,0.1306,1.23,3,False,True,0.4091,0,2,293
182843963,clouddrove/ansible-role-docker-php,0.3859,2,4,False,True,0.4737,0,3,358
27962223,cloudify-cosmo/cloudify-ansible-plugin,0.1133,8.18,3,False,True,0.2766,0.17,17,3536
99026235,cloudposse/terraform-aws-ec2-instance,0.0789,1.28,2,False,True,0.0345,0.12,35,1062
98403296,cloudposse/terraform-null-ansible,0.0926,0.83,2,False,True,0.1,0.33,15,147
142926510,clusterfrak-dynamics/symplegma,0.0651,5.14,1,False,True,0.1515,0,26,1464
142928476,clusterfrak-dynamics/symplegma-os_bootstrap,0.0045,1.41,1,True,True,0.8333,0,15,221
34880975,cmprescott/ansible-role-autofs,0.1074,1.19,6,True,False,0.7,0,9,216
85088897,CMSgov/bluebutton-web-deployment,0.1274,78.37,2,False,True,0.5519,0,2,13503
107745952,codeyourinfra/codeyourinfra,0,10.15,2,False,True,0.1111,0,7,45
67416531,CoffeeITWorks/ansible_burp2_client,0.2421,1.96,3,True,True,0.75,0.06,12,764
64398826,CoffeeITWorks/ansible_burp2_server,0.2008,7.27,2,True,True,0.5784,0.67,24,1672
67424081,CoffeeITWorks/ansible_nagios4_server_config,0.4224,1.51,2,True,True,0.3208,0,8,2046
151358329,cohesity/cohesity-ansible-role,0.0882,6.52,4,False,True,0.3929,0.23,7,12005
174552715,colin-mccarthy/servicenow_network_tickets,0.0971,2.73,2,False,False,0.9091,0,3,307
96927090,CommunityHoneyNetwork/cowrie,0.1502,4.25,4,False,True,0.0556,0,13,447
19279458,ComplianceAsCode/content,0.1618,153.12,14,True,True,0.2942,51.22,44,570650
124378993,coopdevs/certbot_nginx,0.0139,2.04,5,True,False,0.5625,0.2,5,213
120005796,counteractive/incident-response-plan-template,0.022,1.76,4,False,True,0.0769,0,2,2004
170104170,credativ/ansible-playbook-patroni-debian,0.0334,1.1,1,False,True,0.5263,0,2,376
49960209,CruGlobal/ansible-oracle-db-upgrade,0.094,0.57,2,False,False,0.84,0,6,1532
46587823,CruGlobal/ansible-oracle-psu,0.164,1.28,1,False,False,0.8529,0,12,1488
43867217,CSCfi/ansible-role-collectd,0.317,2.26,3,True,True,0.4737,0,17,431
45902662,CSCfi/ansible-role-cuda,0.2996,2.46,4,True,True,0.8485,0.05,22,374
46493187,CSCfi/ansible-role-dell,0.2877,0.98,3,True,True,0.4118,0,12,453
52792547,CSCfi/ansible-role-dell-firmware-upgrade,0.0988,1.09,4,True,True,0.3333,0.05,6,365
49859921,CSCfi/ansible-role-disk-scheduler,0.1004,0.4,2,True,True,0.4545,0.06,3,233
43732667,CSCfi/ansible-role-flowdock,0.3786,0.96,2,True,True,0.5,0,16,261
53916908,CSCfi/ansible-role-hosts-inventory,0.3678,0.71,2,True,True,0.6,0,5,306
46708687,CSCfi/ansible-role-hp-firmware-upgrade,0.0761,1.6,4,True,True,0.7391,0.18,4,534
